IATA,Name,Tier Level,Latitude,Longitude
DEL,Delhi (DEL),Tier 1,28.5665,77.103104
DXB,Dubai (DXB),Tier 1,25.25279999,55.36439896
SVO,Moscow (SVO),Tier 1,55.972599,37.4146
FRA,Frankfurt (FRA),Tier 1,50.033333,8.570556
LAS,Las Vegas (LAS),Tier 1,36.08010101,-115.1520004
YYZ,Toronto (YYZ),Tier 1,43.67720032,-79.63059998
PEK,Beijing (PEK),Tier 1,40.08010101,116.5849991
IAD,Washington DC (IAD),Tier 1,38.94449997,-77.45580292
JNB,Johannesburg (JNB),Tier 2,-26.1392,28.246
LED,St. Petersburg (LED),Tier 2,59.8003006,30.2678
CAN,Guangzhou (CAN),Tier 2,23.39240074,113.2990036
CAI,Cairo (CAI),Tier 2,30.12190056,31.40559959
HYD,Hyderabad (HYD),Tier 2,17.23131752,78.42985535
YKS,Yakutsk (YKS),Tier 3,62.09329987,129.7709961
BOG,Bogota (BOG),Tier 3,4.70159,-74.1469
LXA,Lhasa (LXA),Tier 3,29.29780006,90.91190338
ABV,Abuja (ABV),Tier 3,9.006790161,7.263169765
